fixtureId,gameNumber,fixtureDate,年,月,日,時間,fixtureDate,fixtureSort,Location,Home Team,Away Team,homeScore,awayScore
,1,19/08/2018 22:15,2018,08,19,22:15,2018/08/19,ラ・リーガ第1節,Estadio Santiago Bernabéu,Real Madrid,Getafe CF,2,0
,2,26/08/2018 22:15,2018,08,26,22:15,2018/08/26,ラ・リーガ第2節,Estadio Municipal de Montilivi,Girona FC,Real Madrid,1,4
,3,01/09/2018 20:45,2018,09,01,20:45,2018/09/01,ラ・リーガ第3節,Estadio Santiago Bernabéu,Real Madrid,CD Leganés,4,1
,4,15/09/2018 20:45,2018,09,15,20:45,2018/09/15,ラ・リーガ第4節,Estadio San Mamés,Athletic Club,Real Madrid,1,1
,5,20/09/2018 04:00,2018,09,20,04:00,2018/09/20,CL-GL-第1節,Estadio Santiago Bernabéu,Real Madrid,Roma,3,0
,6,22/09/2018 20:45,2018,09,22,20:45,2018/09/22,ラ・リーガ第5節,Estadio Santiago Bernabéu,Real Madrid,RCD Espanyol,1,0
,7,26/09/2018 22:00,2018,09,26,22:00,2018/09/26,ラ・リーガ第6節,Ramón Sánchez-Pizjuán,Sevilla FC,Real Madrid,3,0
,8,29/09/2018 20:45,2018,09,29,20:45,2018/09/29,ラ・リーガ第7節,Estadio Santiago Bernabéu,Real Madrid,Atlético de Madrid,0,0
,9,03/10/2018 04:00,2018,10,03,04:00,2018/10/03,CL-GL-第2節,Luzhniki Stadium,CSKA Moskva,Real Madrid,1,0
,10,06/10/2018 20:45,2018,10,06,20:45,2018/10/06,ラ・リーガ第8節,Mendizorroza,D. Alavés,Real Madrid,1,0
,11,20/10/2018 13:00,2018,10,20,13:00,2018/10/20,ラ・リーガ第9節,Estadio Santiago Bernabéu,Real Madrid,Levante UD,1,2
,12,24/10/2018 04:00,2018,10,24,04:00,2018/10/24,CL-GL-第3節,Estadio Santiago Bernabéu,Real Madrid,Plzen,2,1
,13,28/10/2018 16:15,2018,10,28,16:15,2018/10/28,ラ・リーガ第10節,Camp Nou,FC Barcelona,Real Madrid,5,1
,14,31/10/2018 18:30,2018,10,31,18:30,2018/10/31,国王杯・ベスト32（第1戦）,アルバレス・クラロ,Melilla,Real Madrid,0,4
,15,03/11/2018 16:15,2018,11,03,16:15,2018/11/03,ラ・リーガ第11節,Estadio Santiago Bernabéu,Real Madrid,R. Valladolid CF,2,0
,16,08/11/2018 05:00,2018,11,08,05:00,2018/11/08,CL-GL-第4節,Štruncovy Sady Stadion,Plzen,Real Madrid,0,5
,17,11/11/2018 20:45,2018,11,11,20:45,2018/11/11,ラ・リーガ第12節,Estadio Abanca Balaídos,RC Celta,Real Madrid,2,4
,18,24/11/2018 13:00,2018,11,24,13:00,2018/11/24,ラ・リーガ第13節,Municipal de Ipurua,SD Eibar,Real Madrid,3,0
,19,28/11/2018 05:00,2018,11,28,05:00,2018/11/28,CL-GL-第5節,Stadio Olimpico,Roma,Real Madrid,0,2
,20,01/12/2018 20:45,2018,12,01,20:45,2018/12/01,ラ・リーガ第14節,Estadio Santiago Bernabéu,Real Madrid,Valencia CF,2,0
,21,06/12/2018 15:15,2018,12,06,15:15,2018/12/06,国王杯・ベスト32（第2戦）,Estadio Santiago Bernabéu,Real Madrid,Melilla,6,1
,22,09/12/2018 16:15,2018,12,09,16:15,2018/12/09,ラ・リーガ第15節,El Alcoraz,SD Huesca,Real Madrid,0,1
,23,13/12/2018 02:55,2018,12,13,02:55,2018/12/13,CL-GL-第6節,Estadio Santiago Bernabéu,Real Madrid,CSKA Moskva,0,3
,24,15/12/2018 18:30,2018,12,15,18:30,2018/12/15,ラ・リーガ第16節,Estadio Santiago Bernabéu,Real Madrid,Rayo Vallecano,1,0
,25,03/01/2019 21:30,2019,01,03,21:30,2019/01/03,ラ・リーガ第17節,Estadio de la Cerámica,Villarreal CF,Real Madrid,2,2
,26,06/01/2019 18:30,2019,01,06,18:30,2019/01/06,ラ・リーガ第18節,Estadio Santiago Bernabéu,Real Madrid,Real Sociedad,0,2
,27,09/01/2019 20:30,2019,01,09,20:30,2019/01/09,国王杯・ベスト16（第1戦）,Estadio Santiago Bernabéu,Real Madrid,CD Leganés,3,0
,28,13/01/2019 20:45,2019,01,13,20:45,2019/01/13,ラ・リーガ第19節,Estadio Benito Villamarín,Real Betis,Real Madrid,1,2
,29,16/01/2019 20:30,2019,01,16,20:30,2019/01/16,国王杯・ベスト16（第2戦）,Estadio Municipal Butarque,CD Leganés,Real Madrid,1,0
,30,19/01/2019 16:15,2019,01,19,16:15,2019/01/19,ラ・リーガ第20節,Estadio Santiago Bernabéu,Real Madrid,Sevilla FC,2,0
,31,24/01/2019 20:30,2019,01,24,20:30,2019/01/24,国王杯・ベスト8（第1戦）,Estadio Santiago Bernabéu,Real Madrid,Girona FC,4,2
,32,27/01/2019 20:45,2019,01,27,20:45,2019/01/27,ラ・リーガ第21節,RCDE Stadium,RCD Espanyol,Real Madrid,2,4
,33,31/01/2019 20:30,2019,01,31,20:30,2019/01/31,国王杯・ベスト8（第2戦）,Estadio Municipal de Montilivi,Girona FC,Real Madrid,1,3
,34,03/02/2019 20:45,2019,02,03,20:45,2019/02/03,ラ・リーガ第22節,Estadio Santiago Bernabéu,Real Madrid,D. Alavés,,
,35,06/02/2019 21:00,2019,02,06,21:00,2019/02/06,国王杯・準決勝（第1戦）,Camp Nou,Real Madrid,Real Madrid,,
,36,09/02/2019 16:15,2019,02,09,16:15,2019/02/09,ラ・リーガ第23節,Wanda Metropolitano,Atlético de Madrid,Real Madrid,,
,37,17/02/2019 12:00,2019,02,17,12:00,2019/02/17,ラ・リーガ第24節,Estadio Santiago Bernabéu,Real Madrid,Girona FC,,
,38,24/02/2019 12:00,2019,02,24,12:00,2019/02/24,ラ・リーガ第25節,Estadio Ciutat de València,Levante UD,Real Madrid,,
,39,03/03/2019 12:00,2019,03,03,12:00,2019/03/03,ラ・リーガ第26節,Estadio Santiago Bernabéu,Real Madrid,FC Barcelona,,
,40,10/03/2019 12:00,2019,03,10,12:00,2019/03/10,ラ・リーガ第27節,Estadio Municipal José Zorrilla,R. Valladolid CF,Real Madrid,,
,41,17/03/2019 12:00,2019,03,17,12:00,2019/03/17,ラ・リーガ第28節,Estadio Santiago Bernabéu,Real Madrid,RC Celta,,
,42,31/03/2019 12:00,2019,03,31,12:00,2019/03/31,ラ・リーガ第29節,Estadio Santiago Bernabéu,Real Madrid,SD Huesca,,
,43,03/04/2019 12:00,2019,04,03,12:00,2019/04/03,ラ・リーガ第30節,Estadio de Mestalla,Valencia CF,Real Madrid,,
,44,07/04/2019 12:00,2019,04,07,12:00,2019/04/07,ラ・リーガ第31節,Estadio Santiago Bernabéu,Real Madrid,SD Eibar,,
,45,14/04/2019 12:00,2019,04,14,12:00,2019/04/14,ラ・リーガ第32節,Estadio Municipal Butarque,CD Leganés,Real Madrid,,
,46,21/04/2019 12:00,2019,04,21,12:00,2019/04/21,ラ・リーガ第33節,Estadio Santiago Bernabéu,Real Madrid,Athletic Club,,
,47,24/04/2019 12:00,2019,04,24,12:00,2019/04/24,ラ・リーガ第34節,Coliseum Alfonso Pérez,Getafe CF,Real Madrid,,
,48,28/04/2019 12:00,2019,04,28,12:00,2019/04/28,ラ・リーガ第35節,Estadio de Vallecas,Rayo Vallecano,Real Madrid,,
,49,05/05/2019 12:00,2019,05,05,12:00,2019/05/05,ラ・リーガ第36節,Estadio Santiago Bernabéu,Real Madrid,Villarreal CF,,
,50,12/05/2019 12:00,2019,05,12,12:00,2019/05/12,ラ・リーガ第37節,Estadio de Anoeta,Real Sociedad,Real Madrid,,
,51,19/05/2019 12:00,2019,05,19,12:00,2019/05/19,ラ・リーガ第38節,Estadio Santiago Bernabéu,Real Madrid,Real Betis,,
,,,,,,,,,,,,,